epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.588,1.35284,4.21356,0.92308,0.00018,0.02213,0.00032,0.00027,1.14549,3.95856,0.84132,0.0004,0.0004,0.0004
2,153.914,1.19681,2.63905,0.87917,0.00279,0.47927,0.27688,0.18597,1.06899,3.53485,0.84734,0.000796412,0.000796412,0.000796412
3,172.406,1.16917,2.18141,0.88425,0.93875,0.31122,0.59862,0.42307,1.05232,2.46425,0.85161,0.00117649,0.00117649,0.00117649
4,192.928,1.09377,1.85676,0.86366,0.93836,0.63064,0.81982,0.57803,0.96866,1.67923,0.8427,0.00117575,0.00117575,0.00117575
5,211.606,1.02324,1.56889,0.86315,0.84709,0.71935,0.82599,0.59213,0.96612,1.0321,0.84611,0.001151,0.001151,0.001151
6,230.595,1.00637,1.45035,0.85245,0.89823,0.75567,0.84671,0.64114,0.8124,0.71919,0.81771,0.00112625,0.00112625,0.00112625
7,250.671,1.00785,1.27333,0.83809,0.88437,0.76187,0.85881,0.66221,0.77868,0.8211,0.81684,0.0011015,0.0011015,0.0011015
8,269.72,0.93425,1.12609,0.83938,0.90399,0.77539,0.85285,0.63235,0.89174,0.79028,0.82928,0.00107675,0.00107675,0.00107675
9,287.225,0.95342,1.08589,0.84548,0.89705,0.79059,0.89183,0.67558,0.81249,0.6667,0.81908,0.001052,0.001052,0.001052
10,307.002,0.92764,1.02291,0.82961,0.95383,0.80003,0.91211,0.67062,0.85853,0.6358,0.81751,0.00102725,0.00102725,0.00102725
11,326.582,0.91328,0.96651,0.83661,0.94261,0.82493,0.90979,0.66503,0.8538,0.68035,0.81665,0.0010025,0.0010025,0.0010025
12,344.698,0.87329,0.90027,0.83895,0.96176,0.78922,0.89352,0.68144,0.75597,0.66958,0.8133,0.00097775,0.00097775,0.00097775
13,365.403,0.8839,0.87281,0.8278,0.89391,0.83937,0.91349,0.69922,0.77084,0.6299,0.81008,0.000953,0.000953,0.000953
14,384.592,0.86277,0.80484,0.82451,0.93341,0.8111,0.90136,0.68391,0.80868,0.6212,0.81766,0.00092825,0.00092825,0.00092825
15,403.085,0.88274,0.81214,0.83137,0.94851,0.81351,0.91987,0.68398,0.82751,0.60758,0.81533,0.0009035,0.0009035,0.0009035
16,421.93,0.86941,0.78268,0.83574,0.97268,0.83875,0.92668,0.70267,0.73814,0.56639,0.80659,0.00087875,0.00087875,0.00087875
17,442.16,0.83744,0.75684,0.81781,0.95854,0.82927,0.91073,0.7098,0.72646,0.61561,0.80485,0.000854,0.000854,0.000854
18,460.912,0.84262,0.71493,0.82391,0.96065,0.83413,0.9103,0.70819,0.69615,0.55589,0.80583,0.00082925,0.00082925,0.00082925
19,479.07,0.80475,0.66693,0.82554,0.97045,0.8264,0.92657,0.73409,0.66703,0.53189,0.79745,0.0008045,0.0008045,0.0008045
20,498.235,0.80196,0.65153,0.81716,0.96196,0.8504,0.93318,0.73185,0.67336,0.52005,0.79877,0.00077975,0.00077975,0.00077975
21,517.804,0.8126,0.63949,0.82339,0.94865,0.83611,0.94257,0.74473,0.68039,0.52043,0.79932,0.000755,0.000755,0.000755
22,536.466,0.7839,0.6203,0.81146,0.94174,0.83596,0.93649,0.7329,0.69391,0.52085,0.79977,0.00073025,0.00073025,0.00073025
23,553.958,0.76965,0.6211,0.8199,0.95296,0.85547,0.93552,0.71855,0.71114,0.52513,0.801,0.0007055,0.0007055,0.0007055
24,574.03,0.79646,0.63301,0.81997,0.91432,0.8998,0.94191,0.72513,0.73445,0.50388,0.80113,0.00068075,0.00068075,0.00068075
25,592.097,0.76755,0.56514,0.81224,0.92951,0.88742,0.93855,0.73147,0.70715,0.51878,0.79865,0.000656,0.000656,0.000656
26,610.003,0.74263,0.56337,0.82119,0.93969,0.87019,0.947,0.7343,0.69891,0.48168,0.7986,0.00063125,0.00063125,0.00063125
27,628.074,0.73873,0.56394,0.81408,0.96665,0.85774,0.94256,0.74489,0.6691,0.4663,0.79593,0.0006065,0.0006065,0.0006065
28,647.737,0.73959,0.56962,0.82005,0.97297,0.85453,0.94403,0.74802,0.66983,0.46887,0.79745,0.00058175,0.00058175,0.00058175
29,666.702,0.73162,0.54994,0.80824,0.95998,0.85855,0.93538,0.7501,0.66673,0.50026,0.79681,0.000557,0.000557,0.000557
30,685.446,0.73114,0.54374,0.81287,0.92,0.90068,0.94595,0.7547,0.62563,0.46442,0.79235,0.00053225,0.00053225,0.00053225
31,705.556,0.73282,0.5412,0.8041,0.94657,0.87074,0.94288,0.7502,0.64911,0.46475,0.79299,0.0005075,0.0005075,0.0005075
32,724.679,0.72176,0.53457,0.80816,0.91924,0.89785,0.94679,0.73561,0.67752,0.46712,0.79636,0.00048275,0.00048275,0.00048275
33,742.887,0.69201,0.51336,0.80419,0.95537,0.88201,0.9472,0.75994,0.61498,0.44617,0.79089,0.000458,0.000458,0.000458
34,762.429,0.66008,0.50076,0.80308,0.936,0.87125,0.93159,0.73851,0.69342,0.49211,0.79627,0.00043325,0.00043325,0.00043325
35,781.337,0.71888,0.51364,0.80186,0.94965,0.88772,0.93418,0.75123,0.621,0.47366,0.79059,0.0004085,0.0004085,0.0004085
36,799.061,0.67364,0.48888,0.81079,0.93528,0.88887,0.94099,0.75585,0.63367,0.4842,0.79179,0.00038375,0.00038375,0.00038375
37,816.537,0.68033,0.49045,0.80323,0.96808,0.85302,0.94248,0.76256,0.63856,0.45642,0.79233,0.000359,0.000359,0.000359
38,836.357,0.65356,0.47823,0.80081,0.9477,0.88708,0.94497,0.75854,0.62433,0.43987,0.79138,0.00033425,0.00033425,0.00033425
39,854.444,0.67727,0.47159,0.80226,0.97343,0.85716,0.94086,0.75996,0.62046,0.44862,0.78872,0.0003095,0.0003095,0.0003095
40,872.395,0.64436,0.45453,0.80289,0.97692,0.85594,0.93621,0.76073,0.63386,0.47362,0.79188,0.00028475,0.00028475,0.00028475
41,894.709,0.66379,0.49156,0.79809,0.95658,0.85188,0.937,0.75755,0.63516,0.4886,0.79143,0.00026,0.00026,0.00026
42,912.443,0.62729,0.46167,0.79592,0.95368,0.85554,0.9377,0.74814,0.64977,0.46011,0.79087,0.00023525,0.00023525,0.00023525
43,930.618,0.62462,0.44676,0.79279,0.95819,0.85179,0.94328,0.75793,0.63345,0.45756,0.79098,0.0002105,0.0002105,0.0002105
44,947.66,0.61444,0.43356,0.79002,0.95724,0.86519,0.94022,0.759,0.63268,0.44641,0.78993,0.00018575,0.00018575,0.00018575
45,967.116,0.60681,0.43974,0.79244,0.94978,0.86658,0.93654,0.76282,0.62596,0.45724,0.79132,0.000161,0.000161,0.000161
46,984.716,0.59659,0.42622,0.79226,0.97155,0.8562,0.93966,0.76047,0.62971,0.44026,0.78984,0.00013625,0.00013625,0.00013625
47,1002.34,0.58743,0.41411,0.7933,0.96792,0.85657,0.9403,0.76146,0.6162,0.44126,0.78881,0.0001115,0.0001115,0.0001115
48,1020.55,0.59071,0.41794,0.79678,0.96218,0.86272,0.9423,0.76582,0.61071,0.42337,0.78876,8.675e-05,8.675e-05,8.675e-05
49,1039.41,0.58338,0.42503,0.79348,0.96779,0.86052,0.94542,0.76743,0.60719,0.42226,0.78864,6.2e-05,6.2e-05,6.2e-05
50,1057.55,0.58552,0.42857,0.79178,0.96527,0.85613,0.9475,0.7695,0.60235,0.43027,0.78764,3.725e-05,3.725e-05,3.725e-05
