epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1227.37,0.82799,0.70687,0.88777,0.93664,0.73274,0.83451,0.66484,0.82412,0.7899,0.92504,0.080521,0.000397531,0.000397531
2,1368.29,0.81122,0.65025,0.87733,0.95542,0.75037,0.85042,0.67174,0.82118,0.77747,0.91619,0.0609206,0.000797133,0.000797133
3,1511.14,0.8079,0.64328,0.87588,0.9519,0.79725,0.87541,0.69605,0.78853,0.66353,0.90767,0.0413186,0.00119514,0.00119514
4,1651.19,0.81214,0.63802,0.87231,0.933,0.79007,0.85264,0.66902,0.80446,0.67309,0.90629,0.0217138,0.00159037,0.00159037
5,1791.84,0.79541,0.60109,0.86641,0.9331,0.79094,0.86491,0.6958,0.81977,0.6974,0.90806,0.0021051,0.00198164,0.00198164
6,1932.69,0.78337,0.58804,0.87024,0.94088,0.80207,0.87827,0.6908,0.81279,0.64205,0.9186,0.00197518,0.00197518,0.00197518
7,2075.32,0.77499,0.59186,0.86017,0.95909,0.79382,0.87792,0.69918,0.78395,0.64306,0.89683,0.00196432,0.00196432,0.00196432
8,2220.12,0.77042,0.57192,0.85876,0.94227,0.79291,0.87539,0.69262,0.80368,0.67834,0.90339,0.00195155,0.00195155,0.00195155
9,2360.5,0.76115,0.56676,0.85765,0.9536,0.81169,0.8777,0.70363,0.78375,0.62675,0.90055,0.00193687,0.00193687,0.00193687
10,2502.4,0.76208,0.56567,0.85754,0.92739,0.8019,0.87783,0.70755,0.76125,0.62973,0.89111,0.00192033,0.00192033,0.00192033
11,2642.89,0.74072,0.52824,0.84972,0.94791,0.81883,0.88565,0.71378,0.76757,0.59519,0.89434,0.00190196,0.00190196,0.00190196
12,2785.56,0.74723,0.53201,0.85137,0.96032,0.80353,0.88922,0.71938,0.77235,0.56857,0.89025,0.00188179,0.00188179,0.00188179
13,2929.56,0.7328,0.52441,0.84751,0.96838,0.80027,0.89545,0.71888,0.76415,0.57462,0.8901,0.00185986,0.00185986,0.00185986
14,3072.15,0.75617,0.52961,0.85318,0.94266,0.8205,0.88961,0.72256,0.73563,0.57228,0.88381,0.00183623,0.00183623,0.00183623
15,3214.69,0.72865,0.51201,0.84483,0.94243,0.81139,0.88933,0.72793,0.73723,0.56515,0.88267,0.00181093,0.00181093,0.00181093
16,3356.86,0.71437,0.49523,0.84142,0.95749,0.82446,0.88996,0.72426,0.72874,0.56111,0.87978,0.00178401,0.00178401,0.00178401
17,3497.93,0.73107,0.51924,0.85039,0.96563,0.81653,0.88587,0.7331,0.72758,0.55193,0.88096,0.00175554,0.00175554,0.00175554
18,3639.47,0.70483,0.49589,0.84641,0.96399,0.79635,0.88871,0.71991,0.7781,0.5864,0.88776,0.00172557,0.00172557,0.00172557
19,3780.15,0.71636,0.48273,0.84284,0.94671,0.81662,0.89173,0.73662,0.72567,0.54471,0.87923,0.00169415,0.00169415,0.00169415
20,3922.51,0.69434,0.4687,0.83992,0.96071,0.81049,0.89563,0.73832,0.70981,0.54029,0.87364,0.00166136,0.00166136,0.00166136
21,4062.62,0.69362,0.47849,0.83937,0.92051,0.8348,0.8897,0.72219,0.74403,0.56267,0.87885,0.00162725,0.00162725,0.00162725
22,4203.03,0.69228,0.47871,0.83781,0.95688,0.81448,0.88958,0.7228,0.73335,0.57865,0.87635,0.00159191,0.00159191,0.00159191
23,4342.83,0.68292,0.46652,0.83634,0.93911,0.82008,0.88898,0.73032,0.71975,0.55597,0.87301,0.00155539,0.00155539,0.00155539
24,4483.91,0.68127,0.44995,0.83473,0.94977,0.80915,0.89241,0.7359,0.70567,0.53527,0.86981,0.00151777,0.00151777,0.00151777
25,4625.99,0.68486,0.44932,0.83656,0.94298,0.82767,0.88687,0.72227,0.73224,0.54817,0.87615,0.00147913,0.00147913,0.00147913
26,4767.75,0.68126,0.45582,0.83829,0.94203,0.83134,0.89408,0.7383,0.70404,0.55758,0.87115,0.00143954,0.00143954,0.00143954
27,4906.99,0.6627,0.44019,0.83209,0.96491,0.81254,0.89179,0.74125,0.68043,0.53525,0.86712,0.00139909,0.00139909,0.00139909
28,5049.61,0.66222,0.43479,0.82983,0.9611,0.82691,0.89509,0.743,0.68191,0.5219,0.86791,0.00135786,0.00135786,0.00135786
29,5189.78,0.66473,0.43455,0.83208,0.95085,0.82727,0.89789,0.74056,0.70065,0.51723,0.87346,0.00131593,0.00131593,0.00131593
30,5329.16,0.66031,0.42895,0.82885,0.94453,0.82725,0.89712,0.73862,0.69736,0.52001,0.86953,0.00127338,0.00127338,0.00127338
31,5468.17,0.64184,0.42042,0.82976,0.9475,0.82898,0.89433,0.74021,0.70165,0.52054,0.86945,0.0012303,0.0012303,0.0012303
32,5608.63,0.66434,0.43127,0.82994,0.95232,0.82542,0.89364,0.74783,0.67064,0.50949,0.8635,0.00118677,0.00118677,0.00118677
33,5750.15,0.65031,0.42536,0.82603,0.96604,0.81593,0.89295,0.7427,0.67344,0.50148,0.86763,0.00114289,0.00114289,0.00114289
34,5890.07,0.64602,0.41714,0.82752,0.95094,0.8338,0.89983,0.74913,0.67165,0.51115,0.86586,0.00109874,0.00109874,0.00109874
35,6029.81,0.62547,0.39571,0.82065,0.96285,0.82801,0.89988,0.74615,0.68437,0.50439,0.86538,0.00105442,0.00105442,0.00105442
36,6169.13,0.63178,0.39919,0.8285,0.94021,0.83308,0.89866,0.75123,0.67178,0.50206,0.86435,0.00101,0.00101,0.00101
37,6310.29,0.6354,0.40424,0.8259,0.96428,0.82668,0.8976,0.74928,0.67068,0.49738,0.86231,0.000965584,0.000965584,0.000965584
38,6448.82,0.62868,0.39749,0.82209,0.96609,0.81825,0.89114,0.74459,0.69713,0.51828,0.86852,0.000921257,0.000921257,0.000921257
39,6588.22,0.62669,0.39594,0.82306,0.94403,0.84088,0.89965,0.75032,0.68846,0.50617,0.86629,0.000877109,0.000877109,0.000877109
40,6727.78,0.62245,0.39492,0.82129,0.9629,0.82463,0.89485,0.7459,0.67733,0.49902,0.86604,0.000833229,0.000833229,0.000833229
41,6866.44,0.62491,0.38798,0.82411,0.96181,0.82169,0.89916,0.74948,0.66679,0.49193,0.864,0.000789704,0.000789704,0.000789704
42,7004.67,0.61896,0.39405,0.82145,0.96468,0.81596,0.89553,0.75003,0.66952,0.49181,0.86392,0.000746624,0.000746624,0.000746624
43,7142.86,0.60976,0.38685,0.82129,0.98017,0.81281,0.89862,0.7489,0.66281,0.48705,0.86131,0.000704073,0.000704073,0.000704073
44,7281.52,0.61248,0.37661,0.82131,0.95788,0.82,0.89824,0.75095,0.67106,0.49081,0.86343,0.000662139,0.000662139,0.000662139
45,7419.96,0.60577,0.37173,0.81525,0.96438,0.82178,0.89832,0.75119,0.67364,0.49282,0.86515,0.000620905,0.000620905,0.000620905
46,7557.31,0.59394,0.36874,0.81553,0.95591,0.83247,0.90471,0.75427,0.66951,0.46895,0.86337,0.000580455,0.000580455,0.000580455
47,7697.55,0.58881,0.36128,0.81591,0.93653,0.83747,0.90287,0.75665,0.67187,0.47508,0.86179,0.00054087,0.00054087,0.00054087
48,7837.79,0.59157,0.36389,0.82186,0.96878,0.82134,0.90174,0.75406,0.66289,0.46935,0.86101,0.00050223,0.00050223,0.00050223
49,7977.92,0.58132,0.35679,0.81273,0.95996,0.81938,0.89647,0.74981,0.66882,0.48386,0.86119,0.000464612,0.000464612,0.000464612
50,8118.38,0.57937,0.35708,0.81081,0.94664,0.82591,0.89544,0.74945,0.67212,0.48299,0.86142,0.000428093,0.000428093,0.000428093
51,8258.34,0.59333,0.36306,0.81586,0.9521,0.83102,0.90154,0.75433,0.66875,0.48212,0.86215,0.000392745,0.000392745,0.000392745
52,8399.75,0.59063,0.3594,0.8154,0.96955,0.81875,0.89664,0.75491,0.66543,0.47568,0.86013,0.000358641,0.000358641,0.000358641
53,8538.52,0.58722,0.35586,0.81594,0.97164,0.81601,0.89417,0.75283,0.67094,0.47062,0.8609,0.000325848,0.000325848,0.000325848
54,8678.11,0.58098,0.34805,0.81259,0.96871,0.82461,0.8977,0.75523,0.66724,0.47771,0.86109,0.000294433,0.000294433,0.000294433
55,8816.5,0.56371,0.3393,0.81203,0.95924,0.8234,0.89469,0.75191,0.66245,0.47134,0.85961,0.000264459,0.000264459,0.000264459
56,8956.02,0.56018,0.33624,0.81441,0.95961,0.82409,0.8904,0.75231,0.65888,0.47923,0.86011,0.000235987,0.000235987,0.000235987
