epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,410.14,0.80663,0.63137,0.84683,0.93889,0.79982,0.87425,0.69153,0.78779,0.65952,0.84623,0.080521,0.000397531,0.000397531
2,530.198,0.80706,0.59194,0.84472,0.92485,0.79567,0.88428,0.68532,0.87227,0.69287,0.85383,0.0609202,0.000796752,0.000796752
3,650.909,0.83094,0.62396,0.84909,0.91351,0.82191,0.887,0.69971,0.7972,0.64679,0.84376,0.0413163,0.00119286,0.00119286
4,771.704,0.82954,0.61392,0.84195,0.91698,0.81882,0.87653,0.67452,0.8063,0.6654,0.84633,0.021707,0.00158352,0.00158352
5,891.437,0.83356,0.59104,0.84414,0.93682,0.80079,0.88562,0.68621,0.82194,0.67576,0.84272,0.00208992,0.00196647,0.00196647
6,1009.54,0.82919,0.59249,0.84937,0.96504,0.8024,0.87918,0.71378,0.75705,0.6307,0.83843,0.00195155,0.00195155,0.00195155
7,1130.41,0.79919,0.56711,0.8408,0.92124,0.83719,0.90677,0.71922,0.76559,0.57554,0.84247,0.00193048,0.00193048,0.00193048
8,1251.15,0.79054,0.54661,0.83554,0.93511,0.82106,0.90095,0.72004,0.77328,0.5875,0.83952,0.00190578,0.00190578,0.00190578
9,1371.82,0.77588,0.5218,0.83452,0.97377,0.79454,0.88926,0.70778,0.77441,0.60174,0.83833,0.00187754,0.00187754,0.00187754
10,1491.11,0.76176,0.51109,0.82987,0.91522,0.83165,0.9145,0.73485,0.76624,0.58753,0.84194,0.00184588,0.00184588,0.00184588
11,1610.96,0.73676,0.49433,0.82857,0.95886,0.83858,0.91408,0.73507,0.79365,0.55438,0.83766,0.00181093,0.00181093,0.00181093
12,1731.22,0.74544,0.50047,0.82963,0.94582,0.84818,0.92354,0.73395,0.75956,0.51707,0.83186,0.00177281,0.00177281,0.00177281
13,1849.24,0.71819,0.46737,0.81862,0.94579,0.8505,0.91512,0.74742,0.71565,0.55996,0.82568,0.00173168,0.00173168,0.00173168
14,1969.76,0.72652,0.47799,0.82303,0.93507,0.85109,0.92709,0.76037,0.70998,0.51603,0.82185,0.0016877,0.0016877,0.0016877
15,2089.14,0.70934,0.46108,0.82279,0.94027,0.8458,0.91928,0.74982,0.73872,0.51898,0.82854,0.00164105,0.00164105,0.00164105
16,2207.52,0.69263,0.44047,0.81978,0.95734,0.83233,0.92079,0.75872,0.6976,0.49838,0.8185,0.00159191,0.00159191,0.00159191
17,2325.76,0.67955,0.43934,0.81707,0.95226,0.85437,0.92196,0.76243,0.68325,0.5097,0.81832,0.00154047,0.00154047,0.00154047
18,2447.78,0.66588,0.43091,0.81568,0.93211,0.86887,0.92671,0.762,0.71737,0.48078,0.81977,0.00148694,0.00148694,0.00148694
19,2569.52,0.67768,0.42958,0.81718,0.96209,0.85258,0.93608,0.77545,0.70347,0.48973,0.82022,0.00143152,0.00143152,0.00143152
20,2689.97,0.66118,0.41979,0.81576,0.96094,0.86938,0.92531,0.77194,0.64585,0.46897,0.81308,0.00137444,0.00137444,0.00137444
21,2808.11,0.64638,0.40213,0.81135,0.96981,0.85524,0.928,0.764,0.67226,0.45246,0.81442,0.00131593,0.00131593,0.00131593
22,2926.37,0.63503,0.39272,0.81068,0.95244,0.87357,0.93925,0.77109,0.67432,0.47096,0.81168,0.0012562,0.0012562,0.0012562
23,3044.86,0.62246,0.39031,0.80647,0.97149,0.86398,0.94938,0.78927,0.66987,0.4628,0.81426,0.00119551,0.00119551,0.00119551
24,3167.04,0.61895,0.37639,0.80691,0.95656,0.86805,0.94098,0.79152,0.66583,0.46978,0.81382,0.00113408,0.00113408,0.00113408
25,3288.11,0.61478,0.3747,0.80678,0.93808,0.87136,0.93973,0.78836,0.67314,0.47896,0.81446,0.00107216,0.00107216,0.00107216
26,3409.6,0.61482,0.37432,0.80671,0.96627,0.85499,0.94325,0.78706,0.67009,0.44062,0.81176,0.00101,0.00101,0.00101
27,3531.66,0.58537,0.3551,0.80146,0.95944,0.86523,0.93935,0.79698,0.63371,0.46056,0.80922,0.000947837,0.000947837,0.000947837
28,3653.95,0.58684,0.35627,0.79898,0.96305,0.86055,0.93956,0.79508,0.63905,0.46259,0.81004,0.00088592,0.00088592,0.00088592
29,3774.06,0.57604,0.34228,0.79938,0.95938,0.86795,0.94542,0.80043,0.63965,0.42766,0.80984,0.000824492,0.000824492,0.000824492
30,3898.03,0.57123,0.34042,0.80217,0.96244,0.87106,0.93912,0.79258,0.64183,0.44941,0.80841,0.000763797,0.000763797,0.000763797
31,4018.75,0.54644,0.32681,0.79986,0.96309,0.86057,0.93738,0.79891,0.62973,0.45686,0.80695,0.000704073,0.000704073,0.000704073
32,4137.3,0.55565,0.32938,0.79822,0.96769,0.8839,0.94684,0.80795,0.6267,0.43519,0.80686,0.000645557,0.000645557,0.000645557
33,4258.05,0.54345,0.32198,0.79599,0.97062,0.86986,0.94076,0.80037,0.6204,0.41988,0.80604,0.000588479,0.000588479,0.000588479
34,4375.73,0.53281,0.3101,0.79657,0.97306,0.87803,0.94809,0.81067,0.62209,0.42201,0.80619,0.000533064,0.000533064,0.000533064
35,4497.62,0.51673,0.29829,0.79506,0.97835,0.87706,0.94928,0.81203,0.61988,0.40753,0.80474,0.000479531,0.000479531,0.000479531
36,4619.04,0.50492,0.29079,0.79315,0.95267,0.88353,0.95294,0.81767,0.6074,0.42854,0.8043,0.000428093,0.000428093,0.000428093
37,4740.71,0.50761,0.29541,0.79459,0.97063,0.87012,0.9506,0.81194,0.62081,0.40235,0.80479,0.00037895,0.00037895,0.00037895
38,4858.43,0.5005,0.29114,0.79248,0.96424,0.88171,0.95262,0.81606,0.61701,0.39492,0.806,0.000332298,0.000332298,0.000332298
39,4977.98,0.48544,0.28062,0.78895,0.97722,0.85822,0.94577,0.81147,0.61997,0.4397,0.80476,0.000288321,0.000288321,0.000288321
40,5096.57,0.48168,0.27911,0.78902,0.96777,0.87005,0.94434,0.80722,0.61777,0.419,0.80458,0.000247192,0.000247192,0.000247192
41,5216.92,0.47518,0.27288,0.79403,0.96925,0.86231,0.94056,0.80557,0.6132,0.43,0.80541,0.000209073,0.000209073,0.000209073
42,5335,0.46208,0.2669,0.79033,0.97971,0.85796,0.94052,0.79851,0.61648,0.41755,0.80395,0.000174115,0.000174115,0.000174115
43,5451.43,0.44892,0.25419,0.79182,0.9685,0.86323,0.9447,0.81316,0.61432,0.4139,0.80316,0.000142456,0.000142456,0.000142456
44,5569.49,0.44144,0.25057,0.78477,0.96779,0.86683,0.94415,0.80734,0.62253,0.41808,0.80473,0.000114221,0.000114221,0.000114221
45,5687.57,0.44348,0.25069,0.78549,0.97172,0.86351,0.94548,0.81102,0.61548,0.41405,0.80359,8.95213e-05,8.95213e-05,8.95213e-05
46,5805,0.43892,0.24519,0.78278,0.95755,0.87184,0.94383,0.81129,0.61997,0.42162,0.80433,6.8454e-05,6.8454e-05,6.8454e-05
47,5921.71,0.42695,0.24467,0.78226,0.96462,0.86661,0.94335,0.80867,0.61135,0.41754,0.80359,5.11027e-05,5.11027e-05,5.11027e-05
48,6038.63,0.4302,0.24219,0.78614,0.95261,0.87244,0.9443,0.81272,0.61128,0.41519,0.80354,3.75356e-05,3.75356e-05,3.75356e-05
49,6154.87,0.42247,0.23754,0.78487,0.95797,0.8732,0.94522,0.81103,0.61091,0.41017,0.8036,2.78064e-05,2.78064e-05,2.78064e-05
50,6270.15,0.4243,0.23728,0.78789,0.9572,0.87488,0.94579,0.81109,0.60966,0.40592,0.80319,2.19535e-05,2.19535e-05,2.19535e-05
